"","crispresso.hdr"
"-1:66I",6513
"-1:73I",28
"-40:34I,-1:66I",27
"-1:66I,10:18I",25
"-36:22I,-1:66I",24
"-7:1I,-1:66I",23
"1:95I",22
"1:48I",21
"-1:66I,14:34I",20
"-1:66I,11:33I",18
"-40:33I,-1:66I",18
"-36:26I,-1:66I",17
"-38:28I,-1:66I",16
"-26:20I,-1:66I",13
"-1:66I,10:33I",13
"-37:27I,-1:66I",10
"-40:25I,-1:66I",9
"-1:66I,16:17I",8
"1:66I",7
"-2:66I",6
"-1:65I",5
"-26:1D,-1:66I",4
"-38:1D,-1:66I",4
"-1:66I,22:25I",4
"1:96I",2
"1:99I",2
"-1:66I,43:1D",2
"-41:1D,-1:66I",1
"1:70I",1
"-37:26I,-1:66I",1
"-21:28I,-1:66I",1
"-1:22I,4:34I,6:10I",1
"-40:25I,-1:65I",1
"-1:66I,39:1D",1
"-1:66I,43:1I",1
"-13:22I,-1:66I",1
"-12:26I,-1:66I",1
"-1:66I,10:23I",1
"-1:66I,38:33I",1
"-21:22I,-1:66I",1
"-27:34I,1:66I",1
"-1:66I,15:33I",1
"1:43I",1
"-1:64I",1
"-1:66I,10:22I",1
"-1:50I",1
"-37:33I,-1:66I",1
"-36:26I,-1:66I,11:33I",1
"-34:22I,-1:66I",1
"-30:26I,-1:66I",1
"1:49I",1
"-1:66I,8:1D",1
"1:100I",1
