condition1.precise.knockin,condition1.imprecise.knockin,condition1.indel,condition1.unmodified,condition2.precise.knockin,condition2.imprecise.knockin,condition2.indel,condition2.unmodified,enhancement.1.2.precise.knockin,reduction.1.2.imprecise.knockin,reduction.1.2.indel,reduction.1.2.unmodified
AAVS1,34,38,38,3,25,40,33,5,4,29,37,11
ACOX2,13,15,28,16,17,24,19,19,30,12,29,13
ADAMTS16,24,23,32,9,31,12,17,13,26,32,39,5
ARID1B,37,40,17,18,36,41,22,8,8,25,14,42
ATP5B,26,26,12,25,20,30,26,15,7,13,10,41
C2orf78,30,32,27,11,32,27,20,10,20,35,27,22
C8orf86,36,37,35,7,40,39,34,4,34,19,16,36
CCRL2,11,3,34,12,18,9,30,14,32,5,32,15
CD40LG,28,31,4,40,34,31,3,35,27,23,22,39
CHRNA7,35,24,1,42,12,4,6,41,1,38,15,17
CLK3,3,4,31,21,4,10,37,16,31,8,2,28
CLRN2,15,8,24,19,23,11,14,26,36,11,35,6
CYP2C19,38,41,21,13,39,34,18,9,12,40,24,29
CYTH3,41,28,3,37,42,1,1,39,42,41,36,8
DAAM1,17,16,15,26,28,26,9,25,40,9,28,30
DBF4B,2,1,33,22,1,7,38,30,22,7,3,7
DSCR4,27,25,26,14,35,15,12,17,39,33,38,12
EML2,19,11,39,5,9,13,41,6,9,14,9,16
FAM9C,1,9,22,36,2,5,32,42,33,27,11,2
FBXO10,42,42,42,1,41,42,40,1,15,28,41,19
GLI4,16,5,11,34,3,2,36,27,5,20,1,38
ID1,9,33,5,41,16,25,5,40,24,37,21,9
KBTBD2,23,27,8,29,24,28,10,31,13,21,19,21
KIAA0100,33,36,41,2,8,17,28,22,2,42,42,1
LDB3,7,21,18,27,10,22,24,24,25,18,13,32
LHFP,20,18,20,20,26,18,11,23,35,17,33,10
MIA2,14,2,30,17,11,16,25,21,18,3,30,3
MS4A3,39,34,10,24,38,35,8,18,10,30,26,34
NDP,40,39,2,38,29,32,2,37,3,39,20,35
PDX1,4,6,13,39,22,29,4,38,41,2,34,24
PQLC1,32,30,37,6,37,38,39,3,28,6,8,37
PRR3,8,7,16,31,5,3,31,32,14,16,6,27
PTPN1,12,19,7,35,7,23,27,29,11,15,4,40
RAPGEF3,6,22,19,28,6,19,29,28,29,22,12,26
RHDBL,22,29,40,4,30,21,42,2,37,36,5,33
RPL11,29,14,29,10,19,8,35,7,6,31,7,31
RTN4R,25,35,36,8,27,33,23,11,19,34,40,4
SERPINB5,18,13,9,33,14,20,13,34,16,10,17,25
SLC5A9,10,10,14,30,15,6,15,33,23,24,18,20
TIGD2,21,17,6,32,21,14,7,36,17,26,25,14
WDR92,31,20,25,15,33,36,16,12,21,4,31,18
WFDC2,5,12,23,23,13,37,21,20,38,1,23,23
