# amplicon position	effect
1	4.000000000000000000e+00
2	2.000000000000000000e+00
3	2.000000000000000000e+00
4	6.000000000000000000e+00
5	3.000000000000000000e+00
6	3.000000000000000000e+00
7	2.000000000000000000e+00
8	3.000000000000000000e+00
9	4.000000000000000000e+00
10	6.000000000000000000e+00
11	3.000000000000000000e+00
12	3.000000000000000000e+00
13	3.000000000000000000e+00
14	5.000000000000000000e+00
15	4.000000000000000000e+00
16	3.000000000000000000e+00
17	6.000000000000000000e+00
18	6.000000000000000000e+00
19	6.000000000000000000e+00
20	6.000000000000000000e+00
21	1.000000000000000000e+01
22	5.000000000000000000e+00
23	3.000000000000000000e+00
24	6.000000000000000000e+00
25	5.000000000000000000e+00
26	5.000000000000000000e+00
27	9.000000000000000000e+00
28	2.000000000000000000e+00
29	6.000000000000000000e+00
30	7.000000000000000000e+00
31	1.400000000000000000e+01
32	7.000000000000000000e+00
33	9.000000000000000000e+00
34	8.000000000000000000e+00
35	4.000000000000000000e+00
36	3.000000000000000000e+00
37	8.000000000000000000e+00
38	8.000000000000000000e+00
39	3.000000000000000000e+00
40	1.000000000000000000e+00
41	2.000000000000000000e+00
42	8.000000000000000000e+00
43	3.000000000000000000e+00
44	3.000000000000000000e+00
45	5.000000000000000000e+00
46	8.700000000000000000e+01
47	1.000000000000000000e+00
48	3.000000000000000000e+00
49	6.000000000000000000e+00
50	6.000000000000000000e+00
51	1.000000000000000000e+00
52	4.000000000000000000e+00
53	7.000000000000000000e+00
54	7.000000000000000000e+00
55	5.000000000000000000e+00
56	8.000000000000000000e+00
57	5.000000000000000000e+00
58	9.000000000000000000e+00
59	2.000000000000000000e+00
60	7.000000000000000000e+00
61	5.000000000000000000e+00
62	2.000000000000000000e+00
63	4.000000000000000000e+00
64	5.000000000000000000e+00
65	2.000000000000000000e+00
66	1.000000000000000000e+00
67	5.000000000000000000e+00
68	7.000000000000000000e+00
69	1.000000000000000000e+01
70	8.000000000000000000e+00
71	8.000000000000000000e+00
72	2.000000000000000000e+00
73	6.000000000000000000e+00
74	5.000000000000000000e+00
75	0.000000000000000000e+00
76	2.000000000000000000e+00
77	3.000000000000000000e+00
78	6.000000000000000000e+00
79	4.000000000000000000e+00
80	6.000000000000000000e+00
81	2.000000000000000000e+00
82	2.000000000000000000e+00
83	7.000000000000000000e+00
84	8.000000000000000000e+00
85	9.000000000000000000e+00
86	5.000000000000000000e+00
87	6.000000000000000000e+00
88	3.000000000000000000e+00
89	4.000000000000000000e+00
90	5.000000000000000000e+00
91	1.400000000000000000e+01
92	6.000000000000000000e+00
93	3.000000000000000000e+00
94	1.000000000000000000e+00
95	2.000000000000000000e+00
96	5.000000000000000000e+00
97	2.000000000000000000e+00
98	5.000000000000000000e+00
99	1.000000000000000000e+00
100	6.000000000000000000e+00
101	1.000000000000000000e+00
102	7.000000000000000000e+00
103	2.000000000000000000e+00
104	6.000000000000000000e+00
105	1.000000000000000000e+00
106	7.000000000000000000e+00
107	7.000000000000000000e+00
108	2.000000000000000000e+00
109	7.000000000000000000e+00
110	2.000000000000000000e+00
111	6.000000000000000000e+00
112	3.000000000000000000e+00
113	1.000000000000000000e+01
114	2.000000000000000000e+00
115	6.000000000000000000e+00
116	2.000000000000000000e+00
117	4.000000000000000000e+00
118	5.000000000000000000e+00
119	5.000000000000000000e+00
120	3.000000000000000000e+00
121	2.000000000000000000e+00
122	4.000000000000000000e+00
123	6.000000000000000000e+00
124	2.000000000000000000e+00
125	8.000000000000000000e+00
126	1.000000000000000000e+00
127	6.000000000000000000e+00
128	4.000000000000000000e+00
129	0.000000000000000000e+00
130	4.000000000000000000e+00
131	3.000000000000000000e+00
132	1.000000000000000000e+00
133	6.000000000000000000e+00
134	1.300000000000000000e+01
135	1.100000000000000000e+01
136	2.000000000000000000e+00
137	3.000000000000000000e+00
138	1.000000000000000000e+00
139	2.000000000000000000e+00
140	2.000000000000000000e+00
141	3.000000000000000000e+00
142	4.000000000000000000e+00
143	5.000000000000000000e+00
144	3.000000000000000000e+00
145	6.000000000000000000e+00
146	4.000000000000000000e+00
147	6.000000000000000000e+00
148	6.000000000000000000e+00
149	2.000000000000000000e+00
150	4.000000000000000000e+00
151	6.000000000000000000e+00
152	6.000000000000000000e+00
153	1.000000000000000000e+00
154	8.000000000000000000e+00
155	1.000000000000000000e+00
156	1.000000000000000000e+00
157	6.000000000000000000e+00
158	1.000000000000000000e+00
159	4.000000000000000000e+00
160	6.000000000000000000e+00
161	4.000000000000000000e+00
162	1.000000000000000000e+01
163	2.500000000000000000e+01
164	7.000000000000000000e+00
165	2.000000000000000000e+00
166	3.900000000000000000e+01
167	1.000000000000000000e+00
168	1.500000000000000000e+01
169	5.100000000000000000e+01
170	2.800000000000000000e+01
171	1.000000000000000000e+00
172	2.600000000000000000e+01
173	3.600000000000000000e+01
174	7.000000000000000000e+00
175	3.300000000000000000e+01
176	9.600000000000000000e+01
177	1.400000000000000000e+01
178	1.000000000000000000e+01
179	4.700000000000000000e+01
180	7.000000000000000000e+00
181	2.000000000000000000e+00
182	3.000000000000000000e+00
183	2.200000000000000000e+01
184	3.000000000000000000e+00
185	7.000000000000000000e+00
186	1.000000000000000000e+01
187	7.100000000000000000e+01
188	1.300000000000000000e+01
189	2.000000000000000000e+00
190	8.000000000000000000e+00
191	5.000000000000000000e+00
192	4.000000000000000000e+00
193	8.000000000000000000e+00
194	4.000000000000000000e+00
195	4.000000000000000000e+00
196	4.000000000000000000e+00
197	5.000000000000000000e+00
198	4.900000000000000000e+01
199	8.000000000000000000e+00
200	4.000000000000000000e+00
201	4.600000000000000000e+01
202	7.000000000000000000e+00
203	1.000000000000000000e+01
204	4.600000000000000000e+01
205	4.900000000000000000e+01
206	6.000000000000000000e+00
207	5.000000000000000000e+01
208	5.000000000000000000e+00
209	5.200000000000000000e+01
210	8.000000000000000000e+00
211	4.000000000000000000e+00
212	1.000000000000000000e+00
213	3.000000000000000000e+00
214	6.000000000000000000e+00
215	5.000000000000000000e+00
216	2.420000000000000000e+02
217	4.000000000000000000e+00
218	3.000000000000000000e+00
219	1.300000000000000000e+01
220	7.000000000000000000e+00
221	1.100000000000000000e+01
222	7.000000000000000000e+00
