# amplicon position	effect
1	1.000000000000000000e+01
2	2.000000000000000000e+00
3	1.000000000000000000e+00
4	1.000000000000000000e+00
5	1.000000000000000000e+00
6	0.000000000000000000e+00
7	1.000000000000000000e+00
8	1.000000000000000000e+00
9	2.000000000000000000e+00
10	7.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	3.000000000000000000e+00
14	7.000000000000000000e+00
15	0.000000000000000000e+00
16	7.000000000000000000e+00
17	3.000000000000000000e+00
18	1.100000000000000000e+01
19	1.000000000000000000e+00
20	3.000000000000000000e+00
21	9.000000000000000000e+00
22	1.000000000000000000e+00
23	7.000000000000000000e+00
24	7.000000000000000000e+00
25	1.100000000000000000e+01
26	1.300000000000000000e+01
27	9.000000000000000000e+00
28	1.200000000000000000e+01
29	8.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	2.000000000000000000e+00
49	1.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	0.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	1.000000000000000000e+00
65	0.000000000000000000e+00
66	0.000000000000000000e+00
67	0.000000000000000000e+00
68	7.100000000000000000e+01
69	7.100000000000000000e+01
70	7.100000000000000000e+01
71	7.100000000000000000e+01
