ins_size	fq
0	24788
1	1433
2	134
3	0
4	97
5	0
6	91
7	32
8	0
9	0
10	0
11	0
12	0
13	18
14	0
15	42
16	0
17	20
18	0
19	2
20	0
21	0
22	0
23	1
24	28
25	0
26	1
27	3
28	0
29	0
30	1
31	0
32	0
33	0
34	3
35	0
36	0
37	22
38	24
39	2
40	89
41	3
42	0
43	46
44	3
45	3
46	29
47	5
48	22
49	19
50	1
51	0
52	26
53	26
54	0
55	1
56	0
57	24
58	0
59	0
60	0
61	0
62	0
63	17
64	30
65	6
66	6508
67	33
68	2
69	71
70	22
71	1
72	0
73	30
74	1
75	0
76	0
77	16
78	27
79	0
80	0
81	0
82	0
83	8
84	24
85	1
86	13
87	1
88	44
89	1
90	1
91	13
92	47
93	25
94	40
95	47
96	2
97	0
98	1
99	66
100	51
101	0
102	10
103	0
104	5
105	31
106	11
107	4
108	15
109	2
110	27
111	7
112	633
113	108
114	27
115	26
116	21
117	17
118	2
119	21
120	1
121	0
122	0
123	23
124	1
125	2
126	0
127	5
128	0
129	13
130	1
131	0
132	1
133	1
134	9
135	0
136	0
137	0
138	4
139	29
140	22
141	23
142	25
143	5
144	1
145	21
146	0
147	1
148	31
149	25
150	22
151	24
152	34
153	14
154	3
155	14
156	16
157	26
158	333
159	75
160	27
161	20
162	0
163	1
164	0
165	1
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	1
174	0
175	0
176	0
177	0
178	1
179	0
180	0
181	0
182	0
183	0
184	3
185	0
186	13
187	0
188	0
189	22
190	0
191	1
192	0
193	0
194	0
195	0
196	0
197	0
198	1
199	0
200	0
201	0
202	13
203	0
204	2
205	3
206	6
207	0
208	0
209	1
210	0
211	0
212	2
